Fecha; FondoA; FondoB; FondoC; FondoD; FondoE;
25-Jul-2019;47.459,19;42.250,26;49.723,33;38.652,50;46.837,64;
24-Jul-2019;47.370,42;42.158,82;49.572,76;38.503,33;46.679,40;
23-Jul-2019;47.191,20;42.013,65;49.373,09;38.342,35;46.519,02;
22-Jul-2019;47.124,71;41.944,58;49.249,26;38.221,70;46.392,10;
21-Jul-2019;46.991,22;41.806,26;49.012,33;38.012,91;46.153,16;
20-Jul-2019;46.991,22;41.806,26;49.012,33;38.012,91;46.153,16;
19-Jul-2019;46.991,22;41.806,26;49.012,33;38.012,91;46.153,16;
18-Jul-2019;46.944,79;41.762,64;48.923,70;37.919,30;46.047,64;
17-Jul-2019;46.963,92;41.747,52;48.847,80;37.830,80;45.959,00;
16-Jul-2019;47.006,91;41.752,79;48.830,21;37.817,55;45.928,88;
15-Jul-2019;47.006,91;41.752,79;48.830,21;37.817,55;45.928,88;
14-Jul-2019;47.128,63;41.837,90;48.906,66;37.849,11;45.927,15;
13-Jul-2019;47.128,63;41.837,90;48.906,66;37.849,11;45.927,15;
12-Jul-2019;47.128,63;41.837,90;48.906,66;37.849,11;45.927,15;
11-Jul-2019;47.137,74;41.830,75;48.892,37;37.831,03;45.904,78;
10-Jul-2019;47.114,96;41.806,14;48.816,89;37.750,10;45.793,87;
09-Jul-2019;47.084,22;41.777,15;48.786,94;37.715,18;45.772,14;
08-Jul-2019;47.136,25;41.812,69;48.821,70;37.711,41;45.772,88;
07-Jul-2019;46.955,54;41.726,94;48.801,64;37.740,80;45.860,55;
06-Jul-2019;46.955,54;41.726,94;48.801,64;37.740,80;45.860,55;
05-Jul-2019;46.955,54;41.726,94;48.801,64;37.740,80;45.860,55;
04-Jul-2019;46.980,99;41.726,53;48.788,94;37.721,31;45.829,02;
03-Jul-2019;46.925,68;41.685,13;48.731,77;37.657,06;45.763,66;
02-Jul-2019;46.788,01;41.577,75;48.608,72;37.569,08;45.684,32;
01-Jul-2019;46.564,08;41.435,35;48.508,60;37.548,73;45.713,76;
30-Jun-2019;46.454,15;41.342,56;48.379,77;37.451,17;45.608,88;
29-Jun-2019;46.454,15;41.342,56;48.379,77;37.451,17;45.608,88;
28-Jun-2019;46.454,15;41.342,56;48.379,77;37.451,17;45.608,88;
27-Jun-2019;46.350,53;41.272,90;48.323,71;37.430,73;45.603,22;
26-Jun-2019;46.249,54;41.252,30;48.396,02;37.549,32;45.791,06;
25-Jun-2019;46.615,93;41.498,85;48.599,87;37.657,54;45.843,63;
24-Jun-2019;46.649,74;41.516,88;48.629,27;37.685,76;45.868,33;
